Date/Time,CPU Usage %,Memory Available
2022-04-03 14:50:05.083957,7.1,18.86196899
2022-04-03 14:50:15.491842,9,18.86094666
2022-04-03 14:50:25.987191,8.1,18.86565781
2022-04-03 14:50:36.467180,7,18.8645401
2022-04-03 14:50:46.892481,6.6,18.85585022
2022-04-03 14:50:57.510515,6.8,18.85663986
2022-04-03 14:51:08.000498,6.9,18.85115814
2022-04-03 14:51:18.389759,6.6,18.84477615
2022-04-03 14:51:28.810502,7.7,18.85895538
2022-04-03 14:51:39.433814,7.8,18.86782455
2022-04-03 14:51:49.875216,7.4,18.85890198
2022-04-03 14:52:00.283818,8.5,18.85385895
2022-04-03 14:52:10.737149,6.7,18.84529114
2022-04-03 14:52:21.263231,6.4,18.8585701
2022-04-03 14:52:31.707162,7.3,18.85592651
2022-04-03 14:52:42.259887,6.6,18.85910034
2022-04-03 14:52:52.737154,5.9,18.86068726
2022-04-03 14:53:03.209655,8.6,18.85026169
2022-04-03 14:53:13.613812,7.1,18.85598755
2022-04-03 14:53:24.087144,6.3,18.860672
2022-04-03 14:53:34.553821,6.6,18.84630966
2022-04-03 14:53:45.130484,7,18.843853
2022-04-03 14:53:55.563812,6.2,18.83592224
2022-04-03 14:54:05.960488,6.5,18.83177948
2022-04-03 14:54:16.450477,6.5,18.84114075
2022-04-03 14:54:26.885472,7.5,18.85325241
2022-04-03 14:54:37.290473,6.8,18.84367752
2022-04-03 14:54:47.693803,6.7,18.84902954
2022-04-03 14:54:58.107144,6.6,18.85025024
2022-04-03 14:55:08.547142,6.5,18.86968613
2022-04-03 14:55:18.987142,6.4,18.84703827
2022-04-03 14:55:29.393806,6.2,18.85526276
2022-04-03 14:55:39.889463,7,18.83993149
2022-04-03 14:55:50.301608,8,18.83327866
2022-04-03 14:56:00.704708,7,18.85654831
2022-04-03 14:56:11.189769,7,18.84947586
2022-04-03 14:56:21.652223,6.6,18.83998871
2022-04-03 14:56:32.130215,6.3,18.8555336
2022-04-03 14:56:42.700459,8.4,18.85844803
2022-04-03 14:56:53.123792,7.7,18.85982132
2022-04-03 14:57:03.547751,6.5,18.85829926
2022-04-03 14:57:14.077124,8.4,18.85754395
2022-04-03 14:57:24.510468,6.9,18.86130142
2022-04-03 14:57:34.892374,6.1,18.85924911
2022-04-03 14:57:45.323785,6.9,18.84372711
2022-04-03 14:57:55.790449,7.7,18.84609985
2022-04-03 14:58:06.213797,7.1,18.83168411
2022-04-03 14:58:16.653185,6.8,18.83384705
2022-04-03 14:58:27.094269,7.8,18.84075546
2022-04-03 14:58:37.548063,9.6,18.83651352
2022-04-03 14:58:48.110442,7.9,18.82789612
2022-04-03 14:58:58.490439,7.6,18.83095932
2022-04-03 14:59:08.940447,8.2,18.83666229
2022-04-03 14:59:19.363789,7.7,18.80589294
2022-04-03 14:59:29.793782,7.1,18.8431282
2022-04-03 14:59:40.238815,7.7,18.84544373
2022-04-03 14:59:50.658654,6.9,18.85224915
2022-04-03 15:00:01.096009,7.3,18.85238647
2022-04-03 15:00:11.516127,6.5,18.86073303
